Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/builds/generate,81,0,140,152.3589049494699,103.47170010209084,363.0148000083864,18740.0,2.798330088479612,0.0,140,140,150,150,250,270,290,360,360,360,360
POST,/v1/products/search,281,0,3,21.286917075239707,1.693999976851046,147.96640002168715,1255.0,9.707787097071247,0.0,3,3,4,20,120,140,140,150,150,150,150
,Aggregated,362,0,3,50.61517955538513,1.693999976851046,363.0148000083864,5167.389502762431,12.506117185550858,0.0,3,33,130,140,140,150,250,280,360,360,360
